gene	GSM1495249	GSM1495251	GSM1495253	GSM1495250	GSM1495252
119	1.73	1.73	1.6	2.04	1.77
120	2.22	1.98	2.55	2.08	2.29
123	0.41	0.28	0.3	0.17	0.25
124	-1.17	-1.21	-0.58	-0.55	-0.35
125	-0.23	-0.18	-0.13	-0.12	-0.27
126	-1.17	-1.21	-0.58	-0.4	-0.46
127	-0.26	-0.27	-0.21	-0.16	-0.23
128	1.21	1.16	1.55	1.19	1.59
130	-0.46	-0.46	-0.37	-0.55	-0.23
131	-1.17	-1.21	-0.49	-1.17	-0.56
132	0.56	0.52	0.91	0.42	0.54
133	0.12	0.02	0.01	-0.18	0.06
134	1.38	1.44	0.61	1.4	0.87
135	0.05	0.05	0.02	0.04	0.03
136	0.1	0.17	-0.03	0.1	0.02
137	-0.56	-0.61	-1.19	-1.17	-0.56
140	0.17	0.23	0.79	0.13	0.28
141	0.05	-0.03	0.03	0	-0.04
142	1.82	1.72	2.17	1.81	2.2
143	0.5	0.42	0.72	0.41	0.79
144	-0.41	-1.21	-0.49	-0.55	-0.56
145	-1.17	-1.21	-1.19	-1.17	-1.18
146	-0.03	0.03	-0.31	0.04	-0.04
147	0.67	0.59	-0.05	0.42	0.05
148	-0.03	0.05	0.1	0.06	0
150	0.15	0.2	-0.03	0.26	0.09
151	-0.2	-0.08	-0.33	-0.24	-0.09
152	0.19	0.43	-0.17	0.19	-0.32
153	0.34	0.56	-0.04	0.38	0.04
154	0.02	0.02	0.06	-0.03	-0.08
155	-0.2	-0.17	-0.44	-0.18	-1.18
156	1.86	1.9	1.43	1.95	1.12
157	1.25	1.3	0.79	1.44	1.24
158	0.58	0.66	0.7	0.63	0.74
159	1.09	1.01	0.65	1.26	0.57
160	2.09	2.24	1.6	1.98	1.26
161	2.18	2.3	1.55	1.87	1.55
162	1.74	1.74	1.94	1.64	1.67
163	2.58	2.63	2.62	2.44	2.67
164	1.57	1.47	1.64	1.5	1.54
165	1.18	0.8	1.72	0.34	0.95
166	2.63	2.64	2.22	2.7	2.13
167	-1.17	-1.21	-1.19	-1.17	-1.18
172	0.38	0.38	0.58	0.51	0.56
173	-1.17	-1.21	-1.19	-1.17	-1.18
174	-0.46	-0.51	-1.19	-1.17	-1.18
175	0.37	0.26	0.36	0.39	0.39
176	-0.05	-0.04	-0.1	-0.11	0.94
177	0	-0.02	0.38	-0.03	0.39
178	0.72	0.7	0.66	0.77	0.4
181	-0.32	-0.37	-0.4	-0.33	-0.46
182	0.51	0.41	0.76	0.58	1.14
183	2.07	1.98	2.65	1.96	1.85
185	-0.31	-0.37	-0.44	-0.55	-0.56
186	-1.17	-0.61	-1.19	-1.17	-1.18
187	1.76	1.29	0.45	0.58	1.08
189	-0.31	-0.37	-0.29	-0.4	-0.37
190	-0.13	-0.18	-0.19	-0.29	0.03
191	0.94	1.09	1.12	0.99	1.47
196	0.48	0.42	0.56	0.54	0.11
197	-0.46	-0.42	-0.37	-0.26	-0.21
199	0.71	0.44	0.69	0.38	0.34
203	1.23	1.27	1.38	1.14	1.47
204	0.94	0.78	1.24	0.81	0.87
205	1.49	1.42	0.78	1.25	0.9
206	-0.37	-1.21	-0.15	-0.4	-0.41
207	1.44	1.45	1.8	1.46	1.77
208	1.34	1.39	1.7	1.37	1.36
210	1.54	1.33	1.5	1.49	1.39
211	0.97	1.08	0.71	0.88	0.59
212	-0.29	-0.09	-0.49	-0.55	-1.18
213	-0.2	-0.31	-0.15	-0.26	-0.18
214	1.84	1.74	2.34	1.89	2.6
215	0.09	0.18	0.27	0.08	0.37
216	0.92	1.12	0.84	0.78	0.26
217	2.14	1.9	2.2	2.15	2.07
218	-0.46	-0.26	-0.31	-0.16	-0.35
219	0.2	0.31	0.5	0.21	0.31
220	0.31	0.36	-0.31	0.3	-0.27
221	0.05	0.07	0.16	0.08	0.36
222	-1.17	-1.21	-1.19	-0.55	-1.18
223	1.46	1.28	1.78	1.3	1.67
224	0.99	1.07	1.2	1.05	1.36
225	0.45	0.52	0.14	0.58	0.73
226	3.1	3.21	2.44	3.06	2.63
