gene	GSM2230612	GSM2230611	GSM2230613
51248	1.23	1.39	1.45
51249	-0.04	0.08	0.24
51250	0.5	0.52	0.36
51251	0.82	0.76	0.59
51252	-0.28	-0.08	-0.59
51253	0.25	0.45	0.89
51255	0.93	1.15	0.99
51256	-0.01	0.51	0.33
51257	0.72	1.05	0.8
51258	1.49	1.52	1.47
51259	-0.06	-0.06	0.34
51260	1.02	1	1.04
51263	1.61	1.44	1.65
51264	0.77	0.93	1.09
51265	-0.14	-0.07	-0.24
51266	-1.16	-1.53	-0.97
51267	-0.84	-1.03	-0.78
51268	-0.48	-0.9	-1.48
51271	0.46	0.87	0.65
51272	0.56	0.53	0.8
51274	0.73	0.62	0.39
51277	0.02	-0.11	-0.05
51278	0.4	-0.04	1.21
51279	-0.36	-0.42	-0.35
51280	0.04	0.12	0.19
51281	-1.63	-0.76	-1.48
51282	0.38	0.76	0.74
51283	0.81	0.68	0.29
51284	-0.88	-0.59	-0.86
51285	-0.49	-0.55	-0.41
51286	-1.63	-1.53	-0.97
51287	0.34	0.45	0.84
51289	-0.98	-0.72	-0.97
51290	1.52	1.36	1.33
51291	-0.3	-0.19	0.14
51292	0.88	1.08	0.83
51293	0.26	0.48	1.29
51294	-0.48	-0.38	-1.48
51295	0.54	0.48	0.81
51296	-0.72	-0.54	-1.48
51297	-1.63	-1.53	-1.48
51298	-1.16	-1.53	-1.48
51299	0.64	1.06	1.34
51300	0.45	0.51	0.62
51301	-0.27	-0.54	0.56
51302	0.07	0.25	-0.48
51303	0.27	-0.04	1.25
51304	1.26	1.15	1.27
51305	-1.63	-1.53	-1.48
51306	0.87	0.41	0.57
51307	0.48	0.67	0.51
51308	-0.47	-0.61	-0.59
51309	-0.13	0.04	-0.01
51310	-0.22	-0.19	-0.63
51311	-1.63	-1.53	-1.48
51312	0.98	0.6	1.27
51313	0.86	-0.1	0.2
51314	-1.63	-1.53	-1.48
51315	1.46	1.37	1.09
51316	-0.68	-1.53	-0.29
51317	0.33	0.19	0.19
51318	0.6	0.69	0.75
51319	1.01	0.88	0.36
51320	0.76	0.69	0.66
51322	1	0.71	0.68
51324	1.24	0.88	1.69
51329	0.95	1.02	1.18
51330	2.42	2.33	2.47
51332	-0.28	-0.34	-0.66
51333	0.33	0.43	0.96
51334	-1.63	-1.53	-0.97
51335	0.25	0.23	0.35
51337	-0.24	0.14	0.11
51338	-1.16	-1.53	-1.48
51339	-0.42	-0.43	-0.69
51340	0.2	0.31	0.16
51341	0.91	0.99	0.76
51343	0.47	0.79	0.94
51347	0.21	0.03	0.24
51350	-1.63	-1.53	-0.51
51360	0.56	0.33	0.37
51361	-0.68	-0.51	-0.86
51362	0.31	0.32	0.33
51363	-0.66	-0.29	0.03
51364	-0.41	-0.52	-0.45
51365	-0.52	-0.82	-0.28
51366	1.04	1.06	1.26
51367	0.82	0.89	1.61
51368	1.06	0.94	1.1
51371	2.05	2.1	2.12
51372	2.18	2.3	2.52
51373	1.63	1.83	1.86
51374	1.12	1.34	1.31
51375	1.64	2	1.04
51377	0.41	0.42	0.47
51378	-0.23	-0.76	-0.48
51379	0.5	0.35	0.4
51380	-0.12	0.15	0.09
51382	0.95	0.96	0.52
51384	-1.16	-1.53	-0.86
51386	1.08	1.56	1.54
51388	1.1	1.39	2.04
51389	1.75	1.93	1.83
51390	-0.09	-0.38	0.72
51393	0.07	-0.21	-0.11
51397	0.79	0.6	0.67
51398	0.4	0.86	1.17
51399	1.34	1.38	1.85
51400	0.66	0.86	0.78
51406	0.68	1.05	0.81
51409	0.17	-0.06	0.02
51411	-0.78	-0.82	-0.97
51412	-0.74	-0.76	-0.78
51421	1.37	0.72	0.21
51422	0.22	0.19	0.33
51426	0.03	0.14	0.01
51428	0.23	0.41	0.96
51429	1.23	1.07	1.33
51430	0.99	0.6	0.29
51433	1.82	1.83	1.68
51434	0.72	0.54	0.81
51435	-0.14	-1.53	0.62
51439	0.54	0.43	0.35
51440	-0.74	-0.76	-0.69
51441	0.48	0.83	0.75
51442	-1.63	-1.53	-1.48
51444	0.69	0.35	0.43
51447	0.41	0.5	0.67
51449	1.61	1.63	0.83
51450	-1.16	-0.9	0.82
51451	0.53	0.83	0.52
51454	1.41	0.81	0.02
51455	0.39	0.1	0.34
51458	-1.04	-1.53	-0.97
51460	0.5	0.19	0.07
51465	0.62	1.03	1.06
51466	0.59	1.04	0.84
51471	-0.3	-0.11	-0.2
51473	-0.76	-0.82	-0.97
51474	0.83	1.35	0.73
51475	-1.63	-1.53	-1.48
51477	-0.54	-0.48	-0.32
51478	0.36	0.46	0.11
51479	1.06	1.17	0.92
51491	0.41	0.77	1.43
51493	1.13	1.32	1.05
51495	1.18	1.06	0.49
51496	0.57	0.35	0.33
51497	0.66	0.72	0.84
51499	0.96	1.05	1.37
51503	1.4	1.33	1.16
51504	0.47	0.82	1.19
51506	1.55	1.65	1.96
51510	0.61	1.02	0.76
51512	0.38	0.73	0.76
51514	0.98	0.47	0.42
51517	0.02	-0.02	0.03
51520	0.86	0.93	0.93
51522	1.5	1.83	2.18
51523	1.07	1.14	0.68
51524	0.32	0.45	0.49
51526	1.05	1.1	0.93
51527	0.69	1.05	0.75
51528	0.9	0.85	0.5
51529	1.59	1.9	1.98
51530	0.26	0.44	0.72
51531	-0.25	-0.17	-0.07
51533	-0.2	-0.1	-0.11
51534	0.86	1.08	1.05
51535	0.4	0.56	0.59
51537	-0.34	-0.37	-0.2
51538	0.37	0.88	0.96
51540	1.08	1.02	0.17
51542	0.57	0.23	0.24
51547	0.49	0.79	0.99
51548	0.04	-0.01	0.08
51550	1.06	1.24	1.47
51552	1.77	1.69	1.25
51554	-0.74	-0.82	-1.48
51555	-0.49	-0.27	-0.73
51557	-1.63	-1.53	-1.48
51559	0.61	0.51	0.66
51560	0.21	0.12	0.09
51561	-0.76	-1.03	-0.86
51562	0.42	0.36	0.27
51564	0.67	0.73	1.06
51566	0.87	0.77	0.35
51567	0.18	0.13	0.23
51569	1.54	1.64	1.34
