gene	GSM2687426	GSM2687427	GSM2687428	GSM2687429	GSM2687430	GSM2687431
152185	0.04	-0.02	0.1	-0.03	0.13	-0.01
152189	0.05	-0.01	0.11	-0.73	-0.18	-0.21
152206	-0.77	-0.8	-0.67	-1.59	-0.44	-1.01
152273	-0.46	-0.45	-0.76	-0.88	-0.79	-0.85
152330	-1.63	-1.52	-1.51	-1.12	-1.46	-1.49
152404	-0.34	-0.36	-0.31	-0.51	0.01	0.24
152405	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
152485	0.59	0.65	0.79	0.47	0.08	-0.07
152503	1.68	1.61	1.77	1.59	1.34	0.94
152518	0.43	0.34	0.35	0.75	0.61	0.47
152519	-0.31	-0.12	-0.43	-0.15	0.25	0.23
152559	-0.13	-0.27	-0.19	0.04	-0.09	-0.15
152573	-1.08	-1.52	-1.51	-1.12	-0.79	-1.49
152579	-0.24	-0.26	-0.18	-0.14	-0.02	-0.05
152586	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
152687	-0.3	-0.29	-0.28	-0.12	-0.17	-0.17
152789	-0.68	-0.82	-0.81	-0.61	-0.47	-0.56
152831	-1.63	-1.52	-1.51	-0.88	-0.79	-0.8
152877	0.27	0.24	0.23	0.49	0.44	0.44
152926	-0.17	-0.16	-0.08	-0.26	-0.15	-0.24
152940	-1.63	-1.52	-1.51	-1.12	-1.46	-0.85
152992	-0.19	-0.22	-0.17	-0.1	-0.05	0.03
153020	-0.45	-0.45	-0.43	-0.04	-0.1	0.67
153090	1.17	1.15	0.98	1.11	0.75	0.55
153129	-0.12	-0.18	-0.07	-0.21	-0.07	-0.08
153201	-1.63	-1	-1.51	-1.59	-1.46	-0.53
153218	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
153222	0.14	0.01	0.6	0.06	0.41	0.48
153241	0.53	0.5	0.59	0.47	0.46	0.6
153339	1.03	0.99	1.03	1.02	0.98	1.06
153364	-0.21	-0.23	-0.18	-0.22	-0.15	-0.28
153396	0.19	0.24	0.15	0.27	0.31	0.28
153443	0.13	0.1	0.09	0.4	0.21	0.31
153527	0.71	0.69	0.79	0.5	0.58	0.83
153562	0.7	0.79	0.83	0.57	0.46	0.42
153572	1.07	1.08	1.51	0.57	0.87	0.85
153579	-0.81	-1	-0.81	-0.77	-0.71	-0.56
