gene	GSM3123142	GSM3123143	GSM3123144	GSM3123145	GSM3123146
3621	1.26	1.12	1.21	1.35	1.07
3622	0.6	0.42	0.27	0.3	0.38
3623	-0.5	-0.56	-0.48	-0.39	-0.42
3624	-0.3	-0.41	-0.42	-0.44	-0.62
3625	0.95	1.25	1.65	1.28	1.16
3626	-1.28	-1.4	-1.53	-1.78	-1.58
3627	-0.5	0.52	0.49	0.02	0.19
3628	0.16	0.19	0.23	0.09	0.39
3630	-1.28	-1.4	-1.53	-1.78	-1.58
3631	0.04	-0.09	0.21	0.19	0.14
3632	0.35	0.45	0.44	0.58	-0.03
3633	0.22	0.25	0.28	0.3	0.04
3635	-0.2	-0.09	-0.02	-0.01	-0.22
3636	0.47	0.36	0.63	1	0.98
3638	0.44	0.49	0.94	0.17	0.49
3640	-0.34	-0.21	-0.36	-0.55	-0.36
3642	-1.28	-1.4	-1.04	-1.35	-1.58
3643	0.66	0.24	0.75	0.7	0.9
3645	-0.69	-0.59	-0.74	-1.09	-0.67
3646	1.39	1.65	1.57	1.02	1.9
3651	-1.28	-1.4	-1.53	-1.78	-1.58
3652	-0.01	0.01	-0.05	-0.04	0.03
3654	1.09	1.08	1.33	1.18	1.02
3655	0.98	0.74	1.22	0.9	1.53
3656	0.09	0.12	-0.01	0.22	0.23
3658	0.69	0.9	1.11	1.19	1.23
3659	1.26	1.74	1.04	1.22	1.22
3660	0.39	0.41	0.91	0.83	0.55
3661	0.67	0.82	1.13	0.96	1.25
3662	-1.28	-1.4	-0.74	-1.05	-1.58
3663	0.39	0.52	0.21	0.04	-0.14
3664	1.79	1.56	1.07	1.77	0.83
3665	0.04	0.42	1.28	1.16	1.29
3667	0.07	-0.11	-0.55	-0.23	-0.41
3669	-0.11	-0.05	0.31	-0.02	0.06
3670	-1.28	-1.4	-1.53	-1.78	-1.58
3671	-0.23	-0.39	-0.45	-0.2	-0.21
3672	-0.58	-0.53	-0.41	-0.46	-0.38
3673	-0.44	-0.63	-0.81	-0.25	-0.57
3674	0.07	0.07	0.03	-0.1	-0.19
3675	1.18	1.36	1.26	1.6	1.18
3676	-0.58	-0.53	-0.32	-0.51	-0.44
3678	0.62	0.61	0.79	0.91	0.27
3679	1.31	0.85	0.9	0.37	-0.32
3680	-0.3	-0.53	-0.36	-0.41	-0.12
3681	-1.28	-1.4	-0.92	-1.13	-1.1
3682	-0.69	-0.63	-0.59	-0.56	-0.53
3683	-0.34	-0.43	-0.39	-0.58	-0.48
3684	0.07	-0.22	-0.09	-0.08	-0.25
3685	1.27	0.98	1.41	1.1	1.29
3687	-0.2	0.19	-0.15	-0.48	-0.28
3688	2.3	2.16	2.3	2.68	2.24
3689	-0.26	-0.03	-0.03	0.11	-0.23
3690	-0.2	-0.07	-0.12	-0.3	0.68
3691	0.88	0.89	0.54	1.45	0.27
3692	1.8	1.82	0.35	1.36	1.31
3693	1.72	1.5	1.81	1.84	1.43
3694	0.18	0.21	0.46	0.13	-0.33
3695	-1.28	-0.53	-0.17	-0.64	-0.67
3696	1.35	1.15	1.47	0.85	0.77
3697	-1.28	-1.4	-1.53	-1.78	-1.58
3698	-0.58	-0.46	-0.43	-0.24	-0.51
3699	-1.28	-1.4	-1.04	-1.35	-1.58
3700	-0.69	-0.87	-0.92	-0.79	-0.82
3702	-0.5	-0.87	-0.47	-0.75	-0.76
3703	1.29	1.43	1.73	1.56	1.77
3704	1.08	1.03	0.96	0.57	1.28
3705	0.45	0.27	0.39	0.2	0.1
3706	-0.17	-0.18	-0.39	-0.28	-0.45
3707	0.09	0	-0.21	0.18	0.08
3708	0.55	0.56	0.43	0.48	1.25
3709	0.09	-0.12	0.09	-0.03	1.57
3710	1.92	1.73	1.82	1.86	1.56
3712	-0.23	0.01	-0.03	0.05	0.68
3714	0.07	-0.02	-0.16	0.33	-0.49
3716	1.21	1.28	1.56	1.38	1.16
3717	0.22	0.32	0.4	0.64	0.01
3718	-0.01	0.23	0.09	0.12	0.14
3720	-0.2	-0.33	-0.18	0.07	-0.01
3725	1.57	1.55	1.72	1.62	1.3
3726	2.45	2.24	1.95	2.05	2.05
3727	2.53	2.27	2.11	2.32	2.03
3728	2.11	2.06	1.99	2.54	1.9
3732	1.47	1.17	1.51	1.11	1.3
3735	1.39	1.53	1.08	1.49	1.51
3736	-1.28	-1.4	-1.53	-1.78	-1.58
3737	-0.5	-0.59	-1.04	-1.05	-0.74
3738	-1.28	-1.4	-1.53	-1.35	-1.58
3739	-1.28	-0.87	-1.04	-0.73	-0.98
3741	-1.28	-1.4	-1.04	-0.96	-1.1
3742	0.04	-0.23	-0.39	-0.2	-0.29
3743	-0.39	-0.63	-0.54	-0.58	-0.45
3744	-1.28	-1.4	-1.53	-1.78	-1.58
3745	-0.58	-1.4	-0.71	-0.91	-0.46
3746	-0.69	-0.87	-1.04	-1	-0.91
3747	-1.28	-1.4	-1.53	-1.24	-1.1
3748	-0.69	-0.68	-0.74	-0.8	-0.44
3749	-1.28	-1.4	-1.04	-1.35	-1.58
3750	-0.3	-0.53	-0.6	-0.57	-0.44
3751	-0.69	-1.4	-0.56	-0.77	-0.23
3752	-1.28	-1.4	-0.92	-0.96	-0.98
3754	-0.34	-0.75	-0.13	-0.59	-0.79
3755	-1.28	-1.4	-1.53	-1.78	-1.58
3756	-0.39	-0.56	-0.58	-0.14	-1.58
3757	-0.5	-0.48	-0.69	-0.67	-0.62
3758	-1.28	-1.4	-1.53	-0.98	-1.58
3759	-0.69	-0.56	-0.45	-0.54	-0.37
3760	-1.28	-1.4	-0.85	-1.13	-0.79
3761	-0.5	-0.87	-0.71	-0.79	-0.74
3762	-1.28	-1.4	-1.53	-1.17	-1.58
3763	-1.28	-1.4	-1.53	-1.78	-1.58
3764	-1.28	-0.68	-0.52	-0.61	-0.35
3765	-1.28	-0.87	-1.04	-0.75	-0.86
3766	-0.58	-0.68	-0.62	-0.51	-0.72
3767	-1.28	-1.4	-1.53	-1.24	-1.1
3768	-1.28	-0.75	-0.81	-0.77	-0.91
3769	-1.28	-1.4	-1.53	-1.78	-1.58
3770	-1.28	-0.68	-0.69	-0.82	-0.82
3772	-0.44	-0.87	-0.55	0.58	-0.58
3773	-1.28	-1.4	-1.53	-1.13	-1.58
3775	0.79	1.02	0.9	1.57	0.65
3776	-1.28	-1.4	-0.71	-0.58	-0.82
3777	-0.69	-0.75	-0.77	-1.09	-0.86
3778	-0.58	-0.75	-0.92	-0.42	-0.98
3779	-1.28	-0.75	-0.85	-0.96	-0.79
3780	-1.28	-0.63	-1.53	-0.56	-0.68
3782	-1.28	-1.4	-1.53	-1.13	-1.58
3783	0.39	0.79	0.52	0.05	2.1
3784	-0.39	-0.41	-0.42	-0.43	-0.43
3785	-1.28	-1.4	-1.04	-0.96	-0.91
3786	-0.58	-0.87	-0.67	-0.77	-0.74
3787	-0.01	0.78	-0.25	-0.03	-0.57
3788	-1.28	-1.4	-1.53	-1.35	-1.58
3790	-1.28	-1.4	-0.92	-1.09	-0.86
3791	-0.34	-0.3	-0.3	-0.36	-0.2
3792	-1.28	-1.4	-1.53	-1.24	-1.1
3795	-0.11	0	-0.34	-0.17	-0.38
3796	0.39	0.58	0.78	0.71	0.63
3797	-0.11	-0.06	-0.02	0.18	0.29
3798	-0.58	-0.46	-0.38	-0.58	-0.44
3799	1.42	1.63	1.95	1.82	1.69
3800	0.28	0.4	0.41	0.59	-0.27
3801	1.15	1.06	1.06	1.4	0.64
3814	-1.28	-1.4	-1.53	-1.35	-0.98
3815	1.57	1.51	1.56	2.47	1.66
3818	-0.44	-0.59	-0.58	-0.74	-0.6
3820	-0.34	-0.15	-0.28	-0.46	0.15
3821	-1.28	-0.63	-0.92	-1.13	-0.76
3824	-0.69	-1.4	-0.62	-1.03	-0.74
3827	-1.28	-1.4	-1.04	-0.72	-1.1
3831	0.76	0.68	0.5	0.53	0.73
3832	0.89	1.1	1.31	1.19	1.05
3833	1.18	1.33	1.21	1.15	1.24
3835	0.89	1	0.85	0.72	1.11
3836	0.74	0.98	0.9	1.19	0.55
3837	1.72	1.91	1.96	2.07	1.98
3838	1.9	2.01	1.78	1.08	1.75
3839	0.77	0.96	1.54	1.13	1.05
3840	1.12	0.81	1.57	1.27	1.21
3842	0.99	1.01	1.25	1.52	1.14
3843	1.5	1.73	1.73	1.45	1.58
3845	1.14	1.41	2.42	1.6	3.18
3848	-1.28	-1.4	-0.92	-0.87	-1.1
3851	-1.28	-0.68	-1.04	-1.78	-1.58
3852	1.71	1.56	0.6	0.65	-0.44
3854	2.12	1.51	0.29	0.94	-0.3
3855	2.73	2.61	2.58	2.3	2.01
3856	2.47	2.56	2.13	2.43	2.46
3859	-0.69	-1.4	-1.53	-1.13	-1.58
3860	-0.69	-1.4	-1.53	-1.03	-1.58
3861	2.72	2.39	2.22	2.49	0.54
3866	0.07	-0.38	-0.64	-0.23	-0.54
3868	0.42	-0.09	-0.33	-0.07	-0.55
3872	2.81	2.53	2.46	2.28	1.57
3875	2.29	2.43	2.25	2.21	2.53
3880	0.92	1.65	0.76	1.42	1.19
3881	-1.28	-1.4	-1.53	-1.24	-1.58
3882	-1.28	-0.48	-0.77	-0.58	-1.58
3885	-0.69	-1.4	-1.53	-1.78	-1.58
3886	-1.28	-1.4	-1.04	-0.82	-0.98
3887	-1.28	-0.87	-1.53	-1.78	-1.1
3888	-0.5	-1.4	-1.53	-1.35	-1.58
3889	-1.28	-0.53	-0.77	-0.91	-1.1
3890	-1.28	-0.68	-1.53	-1.24	-1.58
3892	-1.28	-1.4	-1.53	-1.05	-1.58
3897	0.07	-0.11	0.22	0.68	-0.34
3898	2.04	1.93	1.65	2.27	1.6
3899	-0.17	-0.53	-0.62	-0.36	-0.68
3902	-0.44	-0.12	-0.34	-0.26	-0.3
3903	-0.17	-0.1	-0.43	-0.37	-0.43
3906	-1.28	-1.4	-1.53	-1.35	-0.65
3908	-0.69	-1.4	-0.71	-0.52	-0.86
3909	0.31	0.2	0.57	0.46	-0.25
3910	0.02	-0.11	0.09	-0.15	1.41
3911	1.62	1.36	1.83	1.82	1.77
3912	0.52	0.5	0.99	0.16	0.89
3913	1.37	1.17	1.48	1.74	1.45
3914	1.79	1.63	1.32	1.63	1
3915	0.89	0.8	1.02	0.84	1.31
3916	2.57	2.36	2.39	2.79	2.27
3918	1.7	1.57	1.12	1.78	0.94
3920	2.26	2.12	2.38	2.3	1.93
3921	3.36	3.46	3.07	2.63	3.2
3925	3.04	2.96	2.94	2.86	2.56
3927	1.52	1.55	1.54	1.9	1.18
3929	0.5	0.96	0.7	0.9	0.8
3930	0.91	1.13	1.21	1.59	1.36
3931	-1.28	-1.4	-0.5	-0.66	-0.74
3932	-0.23	0.74	-0.03	0.05	-0.09
