ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541730	GSE94583	Tissue	GSM2478856	None	PPTR tumor intrahepatic metastasis_dissected SJMMHB044785	PPTR tumor intrahepatic metastasis_dissected	Mouse	PPTR tumor intrahepatic metastasis_dissected SJMMHB044785	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541731	GSE94583	organoids	GSM2478857	None	Liver cancer organoids_cultured_LCS3 SJMMHB045434	Liver cancer organoids_cultured_LCS3	Mouse	Liver cancer organoids_cultured_LCS3 SJMMHB045434	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541732	GSE94583	organoids	GSM2478858	None	Liver cancer organoids_cultured_LCS3 SJMMHB045435	Liver cancer organoids_cultured_LCS3	Mouse	Liver cancer organoids_cultured_LCS3 SJMMHB045435	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541733	GSE94583	organoids	GSM2478859	None	Liver cancer organoids_cultured_LCS3 SJMMHB045436	Liver cancer organoids_cultured_LCS3	Mouse	Liver cancer organoids_cultured_LCS3 SJMMHB045436	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541734	GSE94583	organoids	GSM2478860	None	normal liver organoids_cultured SJMMHB045444	normal liver organoids_cultured	Mouse	normal liver organoids_cultured SJMMHB045444	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541735	GSE94583	organoids	GSM2478861	None	normal liver organoids_cultured SJMMHB045445	normal liver organoids_cultured	Mouse	normal liver organoids_cultured SJMMHB045445	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541736	GSE94583	organoids	GSM2478862	None	normal liver organoids_cultured SJMMNORM016154	normal liver organoids_cultured	Mouse	normal liver organoids_cultured SJMMNORM016154	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541737	GSE94583	Tissue	GSM2478863	None	normal liver_dissected SJMMNORM016167	normal liver_dissected	Mouse	normal liver_dissected SJMMNORM016167	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541739	GSE94583	organoids	GSM2478865	None	normal liver organoids_cultured SJMMNORM040740	normal liver organoids_cultured	Mouse	normal liver organoids_cultured SJMMNORM040740	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2541740	GSE94583	organoids	GSM2478866	None	normal liver organoids_cultured SJMMNORM040745	normal liver organoids_cultured	Mouse	normal liver organoids_cultured SJMMNORM040745	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2947526	GSE94583	liver	GSM2679785	None	PNR primary tumor_dissected SJMMHB042778	PNR primary tumor_dissected	Mouse	PNR primary tumor_dissected SJMMHB042778	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2947527	GSE94583	liver	GSM2679786	None	PNR primary tumor_dissected SJMMHB042779	PNR primary tumor_dissected	Mouse	PNR primary tumor_dissected SJMMHB042779	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2947528	GSE94583	liver	GSM2679787	None	PNR primary tumor_dissected SJMMHB042780	PNR primary tumor_dissected	Mouse	PNR primary tumor_dissected SJMMHB042780	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2947529	GSE94583	liver	GSM2679788	None	PNR primary tumor_dissected SJMMHB042781	PNR primary tumor_dissected	Mouse	PNR primary tumor_dissected SJMMHB042781	Liver_Hepatocellular_Carcinoma
GSE94583	29248454	Acquisition of Cholangiocarcinoma Traits during Advanced Hepatocellular CarcinomaDevelopment in Mice.	None	SRX2947530	GSE94583	liver	GSM2679789	None	PNR primary tumor_dissected SJMMHB042782	PNR primary tumor_dissected	Mouse	PNR primary tumor_dissected SJMMHB042782	Liver_Hepatocellular_Carcinoma
